Date,Close,High,Low,Open,Volume,MA10,MA50,Returns,Volatility
2023-05-12,62027.8984375,62110.9296875,61578.1484375,61857.69140625,7000,61586.21875,59624.297578125,0.0019930516735167103,369.08756487681353
2023-05-15,62345.7109375,62562.671875,61950.30078125,62157.1015625,6900,61709.545703125,59681.933203125,0.005123702527504381,398.09249520847493
2023-05-16,61932.46875,62475.94921875,61847.41015625,62474.109375,5900,61767.321484375,59734.815546875,-0.006628237633127032,382.492596531558
2023-05-17,61560.640625,61979.94140625,61340.1015625,61932.3203125,6700,61804.05546875,59786.7859375,-0.006003767208133448,336.0602841998324
2023-05-18,61431.73828125,61955.8984375,61349.33984375,61937.859375,8200,61772.304296875,59827.199140625,-0.002093908420076618,356.2090071693177
2023-05-19,61729.6796875,61784.609375,61251.69921875,61556.25,6100,61839.843359375,59883.605703125,0.004849958907005902,254.43170705467764
2023-05-22,61963.6796875,62044.4609375,61579.78125,61579.78125,5600,61859.786328125,59926.699921875,0.0037907211115397743,255.66108254419447
2023-05-23,61981.7890625,62245.19140625,61914.3984375,62098.16015625,8400,61881.832421875,59961.846484375,0.000292257901585824,255.73285737812304
2023-05-24,61773.78125,62154.140625,61708.1015625,61834.28125,5900,61865.190625,59990.3603125,-0.003355950443609368,256.92465990784893
2023-05-25,61872.62109375,61934.01171875,61484.66015625,61706.12890625,8400,61862.00078125,60031.687109375,0.0016000290374000858,256.5799043370333
2023-05-26,62501.69140625,62529.828125,61911.609375,61985.359375,9200,61909.380078125,60099.018359375,0.010167183826701454,325.18939975655627
2023-05-29,62846.37890625,63026.0,62801.5390625,62801.5390625,9600,61959.446875,60191.18890625,0.00551485075435143,423.51028519553415
2023-05-30,62969.12890625,63036.12109375,62737.3984375,62839.8515625,7800,62063.112890625,60292.56765625,0.0019531753799706397,529.7286739498896
2023-05-31,62622.23828125,62876.76953125,62401.01953125,62839.96875,7300,62169.27265625,60393.894453125,-0.0055088998533942,524.1878457179503
2023-06-01,62428.5390625,62762.41015625,62359.140625,62736.46875,8000,62268.952734375,60489.7684375,-0.0030931379022266503,459.08810746458084
2023-06-02,62547.109375,62719.83984375,62379.859375,62601.96875,6300,62350.695703125,60580.91265625,0.001899296608259382,423.81777818824963
2023-06-05,62787.46875,62943.19921875,62751.71875,62759.19140625,6100,62433.074609375,60684.083046875,0.0038428534492127575,420.28033477039014
2023-06-06,62792.87890625,62867.94921875,62554.2109375,62738.3515625,8100,62514.18359375,60778.44703125,8.61661786613066e-05,401.3496469442172
2023-06-07,63142.9609375,63196.4296875,62841.94921875,62917.390625,6900,62651.1015625,60877.014453125,0.005575186826083822,351.0988888296108
2023-06-08,62848.640625,63321.3984375,62789.73046875,63140.171875,11000,62748.703515625,60975.481640625,-0.004661173757615211,222.90064953952654
2023-06-09,62625.62890625,62992.16015625,62594.73828125,62810.6796875,41400,62761.097265625,61077.4521875,-0.003548393672993644,210.75489265193448
2023-06-12,62724.7109375,62804.890625,62615.19921875,62659.98046875,4900,62748.93046875,61178.86921875,0.0015821323151632427,208.78732405524144
2023-06-13,63143.16015625,63177.46875,62777.0390625,62779.140625,5500,62766.33359375,61289.458046875,0.006671202027012102,234.8120589385264
2023-06-14,63228.51171875,63274.03125,63013.51171875,63115.48046875,11900,62826.9609375,61394.826484375,0.0013517150913699982,269.22083856291306
2023-06-15,62917.62890625,63310.9609375,62871.078125,63153.78125,6700,62875.869921875,61473.348671875,-0.004916813697637745,230.42919900851658
2023-06-16,63384.578125,63520.359375,62957.171875,62960.73046875,5500,62959.616796875,61558.91140625,0.007421595932131764,249.09696680067074
2023-06-19,63168.30078125,63574.69140625,63047.828125,63474.2109375,1400,62997.7,61628.49125,-0.003412144564936326,248.96551334421082
2023-06-20,63327.69921875,63440.19140625,62801.91015625,63176.76953125,5000,63051.18203125,61698.385859375,0.00252339283356684,257.3797386433364
2023-06-21,63523.1484375,63588.30859375,63315.62109375,63467.4609375,10600,63089.20078125,61771.91859375,0.0030863148537083607,297.40986239669684
2023-06-22,63238.890625,63601.7109375,63200.62890625,63601.7109375,7300,63128.22578125,61833.54203125,-0.004474869704855333,287.78502597023373
2023-06-23,62979.37109375,63240.62890625,62874.12109375,63124.28125,7300,63163.6,61885.2740625,-0.004103796393091774,236.27261473498206
2023-06-26,62970.0,63136.08984375,62853.671875,62946.5,4400,63188.12890625,61936.0540625,-0.00014879624212271736,194.72585135203025
2023-06-27,63416.03125,63467.5390625,63054.83984375,63151.8515625,4800,63215.416015625,62006.1596875,0.007083234079720446,206.48778309103423
2023-06-28,63915.421875,64050.44140625,63554.8203125,63701.78125,6300,63284.10703125,62089.927890625,0.00787483251721155,303.01943291837483
2023-06-30,64718.55859375,64768.578125,64068.44140625,64068.44140625,29700,63464.2,62192.943046875,0.012565617110698257,519.122901917636
2023-07-03,65205.05078125,65300.3515625,64836.16015625,64836.16015625,8800,63646.247265625,62304.39703125,0.007517042994634737,754.1151559604259
2023-07-04,65479.05078125,65672.96875,65171.05859375,65503.8515625,6600,63877.322265625,62420.876875,0.004202128465772059,925.862141451202
2023-07-05,65446.0390625,65584.328125,65256.48828125,65493.6796875,7400,64089.15625,62528.675625,-0.000504156953348045,1023.3407638455947
2023-07-06,65785.640625,65832.9765625,65328.2890625,65391.87890625,8600,64315.40546875,62641.77421875,0.005189031565007163,1128.9544903479207
2023-07-07,65280.44921875,65898.9765625,65175.73828125,65559.40625,14300,64519.561328125,62741.371640625,-0.0076793567935251605,1096.786885655791
2023-07-10,65344.171875,65633.4921875,65246.3984375,65482.328125,14400,64756.04140625,62835.2675,0.0009761369140777187,976.1057305761065
2023-07-11,65617.84375,65870.59375,65517.5703125,65598.6484375,9800,65020.82578125,62925.375546875,0.004188160430336874,776.508803540511
2023-07-12,65393.8984375,65811.640625,65320.25,65759.28125,7400,65218.6125,63006.159296875,-0.0034128721655837246,537.4130581835202
2023-07-13,65558.890625,66064.2109375,65452.1484375,65667.0703125,9500,65382.959375,63093.47109375,0.0025230517134207098,288.039272013406
2023-07-14,66060.8984375,66159.7890625,65610.8203125,65775.4921875,10800,65517.193359375,63179.7040625,0.007657356732460707,254.88231461330798
2023-07-17,66589.9296875,66656.2109375,66015.6328125,66148.1796875,9200,65655.68125,63290.416875,0.008008235772035688,400.8638215468678
2023-07-18,66795.140625,67007.0234375,66574.46875,66828.9609375,8200,65787.290234375,63391.0346875,0.003081711280715105,531.2654000830413
2023-07-19,67097.4375,67171.3828125,66703.609375,66905.0078125,8500,65952.430078125,63497.756875,0.004525731545310219,655.5327047785979
2023-07-20,67571.8984375,67619.171875,66831.3828125,67074.34375,8300,66131.055859375,63610.390859375,0.007071222913691777,826.1890751705199
2023-07-21,66684.2578125,67190.5234375,66533.7421875,66907.0703125,13200,66271.43671875,63705.985625,-0.013136239258114357,783.7749378245683
2023-07-24,66384.78125,66808.5625,66326.25,66629.140625,8600,66375.49765625,63793.12328125,-0.004490963419613303,712.855640959713
2023-07-25,66355.7109375,66559.2890625,66177.6171875,66531.203125,11100,66449.284375,63873.32328125,-0.0004379062784062304,662.0989987722317
2023-07-26,66707.203125,66897.2734375,66431.34375,66434.71875,10500,66580.61484375,63968.81796875,0.005297090220780953,550.3111687323814
2023-07-27,66266.8203125,66984.171875,66060.7421875,66834.1171875,8400,66651.4078125,64062.9415625,-0.006601728027403331,438.4330211486789
2023-07-28,66160.203125,66351.21875,65878.6484375,66266.3515625,12300,66661.33828125,64157.510859375,-0.0016089075497695005,424.4743425389862
2023-07-31,66527.671875,66598.421875,65998.8984375,66156.390625,7900,66655.1125,64253.470703125,0.005554226447970878,426.09155571202683
2023-08-01,66459.3125,66658.1171875,66388.2578125,66532.9765625,10500,66621.5296875,64343.383359375,-0.001027532950926724,427.0620350327444
2023-08-02,65782.78125,66261.96875,65431.6796875,66064.40625,7500,66490.0640625,64419.403203125,-0.010179630582245358,464.9511833086123
2023-08-03,65240.6796875,65820.8203125,64963.078125,65550.8203125,9300,66256.9421875,64488.741171875,-0.008240782043553385,446.3125513295187
2023-08-04,65721.25,65799.2734375,65387.1796875,65453.55078125,12500,66160.64140625,64565.71375,0.0073661144366048426,447.7577610164648
2023-08-07,65953.4765625,66067.8984375,65748.25,65811.3984375,7100,66117.5109375,64634.749453125,0.003533507997793617,444.5296318754741
2023-08-08,65846.5,66057.53125,65752.6328125,66048.8125,6300,66066.58984375,64694.751875,-0.0016220003565486918,443.3756186470441
2023-08-09,65995.8125,66066.0078125,65444.37890625,65810.9609375,6600,65995.45078125,64755.285546875,0.00226758445779196,381.99096077678877
2023-08-10,65688.1796875,65956.25,65509.140625,65945.390625,6000,65937.58671875,64816.604375,-0.004661398971336217,380.13819889176585
2023-08-11,65322.6484375,65727.796875,65274.609375,65727.796875,7600,65853.83125,64874.4865625,-0.00556464270648005,416.1979620151271
2023-08-14,65401.921875,65517.8203125,64821.87890625,65153.01953125,7600,65741.25625,64931.5828125,0.0012135674133888497,362.4632213269742
2023-08-16,65539.421875,65605.7421875,65032.890625,65238.671875,0,65649.2671875,64986.621875,0.0021023847015197994,263.0861164257711
2023-08-17,65151.01953125,65535.140625,65046.1015625,65503.8515625,6400,65586.091015625,65033.7846875,-0.00592624000392894,300.63657961983284
2023-08-18,64948.66015625,65175.3203125,64754.71875,65025.7109375,14300,65556.8890625,65069.898671875,-0.0031060047326341156,348.31702533962147
2023-08-21,65216.08984375,65335.8203125,64852.69921875,64852.69921875,9300,65506.373046875,65117.24765625,0.004117555109784066,358.3191722242957
2023-08-22,65220.03125,65362.91015625,65165.44921875,65272.421875,5400,65433.028515625,65169.135703125,6.043610187989046e-05,330.6272710003428
2023-08-23,65433.30078125,65504.7109375,65108.51171875,65300.9296875,7100,65391.70859375,65223.3075,0.003270000445606991,297.35829066819906
2023-08-24,65252.33984375,65913.7734375,65181.94140625,65722.5078125,5900,65317.361328125,65265.49109375,-0.0027655786173002017,209.49795467923573
2023-08-25,64886.51171875,65106.0,64732.5703125,65000.671875,51700,65237.19453125,65298.65109375,-0.005606360260428933,205.17269532713775
2023-08-28,64996.6015625,65213.44921875,64776.921875,64908.078125,20800,65204.58984375,65340.230546875,0.00169665221374804,215.7195875871933
